time,seconds_elapsed,y,z,x
1783250556351725000,0.64872509765625,-0.2778635025024414,18.683923721313477,-1.1066632270812988
1783250556371988000,0.668988037109375,-0.3161894977092743,22.243452072143555,3.4110138416290283
1783250556392252000,0.689251953125,-0.8862887024879456,22.243452072143555,2.9511020183563232
1783250556412516000,0.70951611328125,-2.1510467529296875,24.581336975097656,2.797797918319702
1783250556432779000,0.729779052734375,-3.7607386112213135,29.86074447631836,4.905727863311768
1783250556453043000,0.75004296875,-6.323789596557617,36.179744720458984,6.740584850311279
1783250556473307000,0.770306884765625,-9.691686630249023,39.854248046875,3.1427319049835205
1783250556493570000,0.790570068359375,-11.684638977050781,41.42561340332031,2.5295159816741943
1783250556513834000,0.810833984375,-12.221202850341797,39.47098922729492,3.794273853302002
1783250556534098000,0.831097900390625,-11.607986450195312,29.707439422607422,2.5295159816741943
1783250556554361000,0.851361083984375,-9.921643257141113,24.581336975097656,-0.1868392378091812
1783250556574625000,0.871625,-7.396917819976807,15.54598331451416,0.043116748332977295
1783250556594889000,0.891888916015625,-4.71409797668457,7.123845100402832,0.6563327312469482
1783250556615152000,0.912152099609375,-4.220650672912598,0.004790749866515398,-0.1868392378091812
1783250556635416000,0.932416015625,-4.599119663238525,-7.195706367492676,0.11976874619722366
1783250556655680000,0.952679931640625,-7.703526020050049,-14.199782371520996,-3.6313884258270264
1783250556675943000,0.97294287109375,-10.841466903686523,-13.241632461547852,-4.666190147399902
1783250556696207000,0.99320703125,-12.527811050415039,-12.360135078430176,-3.554736375808716
1783250556716471000,1.013470947265625,-12.221202850341797,-14.927976608276367,-3.6697144508361816
1783250556736734000,1.03373388671875,-11.876269340515137,-17.261072158813477,-1.4899232387542725
1783250556756998000,1.053997802734375,-11.876269340515137,-15.617844581604004,1.6096919775009155
1783250556777262000,1.074261962890625,-12.829627990722656,-12.16850471496582,4.100882053375244
1783250556797525000,1.09452490234375,-13.05958366394043,-7.119054317474365,5.475827217102051
1783250556817761000,1.114760986328125,-12.566137313842773,-4.129626274108887,5.437500953674316
1783250556838024000,1.13502392578125,-12.752976417541504,-2.1031391620635986,5.667457103729248
1783250556858288000,1.1552880859375,-11.876269340515137,3.181057929992676,3.9092519283294678
1783250556878552000,1.175552001953125,-9.423404693603516,8.196972846984863,5.288987636566162
1783250556898815000,1.19581494140625,-6.553745746612549,9.380288124084473,12.484694480895996
1783250556919079000,1.216078857421875,-6.7837018966674805,8.465254783630371,9.801874160766602
1783250556939343000,1.236343017578125,-6.362115859985352,13.208097457885742,2.759471893310547
1783250556959606000,1.25660595703125,-8.086785316467285,22.85666847229004,9.001818656921387
1783250556979870000,1.276869873046875,-12.029572486877441,37.252872467041016,15.699287414550781
1783250557000134000,1.2971337890625,-15.052536010742188,52.25749969482422,13.366191864013672
1783250557020397000,1.31739697265625,-15.819056510925293,59.414878845214844,9.49526596069336
1783250557040661000,1.337660888671875,-17.385631561279297,56.81350326538086,11.641522407531738
1783250557060925000,1.357925048828125,-18.075498580932617,53.062347412109375,14.242898941040039
1783250557081188000,1.37818798828125,-19.493560791015625,45.59356689453125,11.871478080749512
1783250557101452000,1.3984521484375,-19.033649444580078,32.926822662353516,8.733536720275879
1783250557121716000,1.418716064453125,-17.845542907714844,24.42803382873535,1.1928967237472534
