time,seconds_elapsed,y,z,x
1783176589842555000,0.630554931640625,4.2014875411987305,8.877259254455566,-0.455121248960495
1783176589862819000,0.650819091796875,4.239813804626465,8.848514556884766,-0.4167952239513397
1783176589883083000,0.6710830078125,4.2014875411987305,8.82456111907959,-0.455121248960495
1783176589903346000,0.691345947265625,4.12483549118042,8.9155855178833,-0.5700992345809937
1783176589923610000,0.711610107421875,4.009857654571533,8.925167083740234,-0.6850772500038147
1783176589943874000,0.7318740234375,4.048183441162109,8.85330581665039,-0.6467512249946594
1783176589964137000,0.752136962890625,3.971531629562378,8.92037582397461,-0.7234032154083252
1783176589984401000,0.77240087890625,4.048183441162109,8.901213645935059,-0.8383812308311462
1783176590004665000,0.7926650390625,4.12483549118042,8.896422386169434,-0.8767071962356567
1783176590024928000,0.812927978515625,4.12483549118042,8.891632080078125,-0.7617292404174805
1783176590045192000,0.83319189453125,4.2014875411987305,8.901213645935059,-0.6850772500038147
1783176590065456000,0.8534560546875,4.009857654571533,8.9155855178833,-0.7234032154083252
1783176590085719000,0.873718994140625,4.048183441162109,8.929957389831543,-0.8383812308311462
1783176590105983000,0.89398291015625,4.009857654571533,8.94912052154541,-0.7617292404174805
1783176590126247000,0.914246826171875,4.163161754608154,8.862887382507324,-0.7234032154083252
1783176590146510000,0.934510009765625,4.278139591217041,8.882050514221191,-0.7617292404174805
1783176590166774000,0.95477392578125,4.316465854644775,8.838933944702148,-0.6850772500038147
1783176590187038000,0.975037841796875,4.431443691253662,8.891632080078125,-0.7234032154083252
1783176590207301000,0.995301025390625,4.354791641235352,8.910795211791992,-0.5317732095718384
1783176590227565000,1.01556494140625,4.163161754608154,8.8868408203125,-0.2251652479171753
1783176590247829000,1.0358291015625,4.086509704589844,8.906003952026367,-0.2251652479171753
1783176590268092000,1.056091796875,4.086509704589844,8.92037582397461,-0.30181723833084106
1783176590288356000,1.076356201171875,4.278139591217041,8.901213645935059,-0.4934472441673279
1783176590308620000,1.0966201171875,4.393117427825928,8.829352378845215,-0.6084252595901489
1783176590328883000,1.116883056640625,4.546421527862549,8.891632080078125,-0.5700992345809937
