time,seconds_elapsed,y,z,x
1783250517718483000,0.88248291015625,-4.211069107055664,-8.474836349487305,-1.6480180025100708
1783250517738747000,0.902746826171875,-3.061289072036743,-0.24432824552059174,0.3066079914569855
1783250517759011000,0.923010986328125,-1.2647579908370972,0.4455397427082062,3.8661351203918457
1783250517779274000,0.94327392578125,0.11497800052165985,-0.052698247134685516,3.789483070373535
1783250517799538000,0.963537841796875,0.07665199786424637,0.062279749661684036,0.19162999093532562
1783250517819802000,0.983802001953125,0.8814979791641235,2.5870048999786377,-1.226431965827942
1783250517840065000,1.00406494140625,3.2529191970825195,4.771586894989014,5.705782890319824
1783250517860329000,1.024328857421875,5.935739040374756,8.484417915344238,10.185133934020996
1783250517880593000,1.044593017578125,2.031277894973755,20.38943099975586,12.863162994384766
1783250517900856000,1.06485595703125,-2.869659185409546,46.69064712524414,26.032934188842773
1783250517921120000,1.0851201171875,-6.127368927001953,71.60733795166016,18.947416305541992
1783250517941384000,1.105384033203125,-6.314208507537842,73.83024597167969,11.330123901367188
1783250517961647000,1.125647216796875,-4.785959243774414,61.886905670166016,16.077756881713867
1783250517981911000,1.1459111328125,-1.226431965827942,40.793235778808594,16.231060028076172
1783250518002175000,1.166175048828125,-0.2299560010433197,21.8458194732666,3.5212011337280273
1783250518022438000,1.18643798828125,-2.8313331604003906,17.74972915649414,-2.716355085372925
1783250518042702000,1.2067021484375,-5.169219017028809,12.465531349182129,-3.022963047027588
1783250518062966000,1.226966064453125,-6.127368927001953,6.798074245452881,-0.6898679733276367
1783250518083229000,1.24722900390625,-6.199230194091797,0.5221917629241943,0.8431719541549683
1783250518103493000,1.2674931640625,-7.042402267456055,-2.845705509185791,0.34493398666381836
1783250518123757000,1.287757080078125,-7.080728530883789,-6.218393325805664,-3.2529191970825195
1783250518144020000,1.30802001953125,-7.540640354156494,-16.168781280517578,-2.031277894973755
1783250518164284000,1.328283935546875,-7.617292404174805,-21.33799934387207,-2.2181172370910645
1783250518184548000,1.348548095703125,-7.617292404174805,-22.866249084472656,-5.514153003692627
1783250518204811000,1.36881103515625,-8.422138214111328,-20.111568450927734,-6.390860557556152
1783250518225075000,1.389074951171875,-9.265310287475586,-14.33392333984375,-3.7128312587738037
1783250518245339000,1.4093388671875,-9.112006187438965,-11.382822036743164,-0.9964759945869446
1783250518265603000,1.42960302734375,-8.15385627746582,-9.547964096069336,-0.38325998187065125
1783250518285866000,1.449865966796875,-6.4291863441467285,-5.451873302459717,3.0996150970458984
1783250518306130000,1.4701298828125,-5.092566967010498,-0.12935024499893188,3.32957124710083
1783250518326394000,1.49039404296875,-3.2529191970825195,4.043392658233643,2.4097471237182617
1783250518346657000,1.510656982421875,-1.2647579908370972,4.848238945007324,2.1031391620635986
1783250518366921000,1.5309208984375,-0.15330399572849274,5.231498718261719,7.042402267456055
1783250518387185000,1.551184814453125,0.9198240041732788,10.472579002380371,12.518229484558105
1783250518407448000,1.571447998046875,1.1881059408187866,19.62291145324707,14.544716835021973
1783250518427712000,1.5917119140625,-4.211069107055664,39.68178176879883,20.748737335205078
1783250518447976000,1.611975830078125,-7.234032154083252,58.480682373046875,20.633760452270508
1783250518468239000,1.632239013671875,-7.50231409072876,65.21647644042969,17.342514038085938
1783250518488503000,1.6525029296875,-6.889098167419434,59.663997650146484,21.017019271850586
1783250518508767000,1.67276708984375,-5.360848903656006,44.429412841796875,21.017019271850586
1783250518529030000,1.69302978515625,-2.907985210418701,31.527925491333008,14.889650344848633
1783250518549294000,1.713294189453125,-1.762995958328247,22.03744888305664,9.533592224121094
1783250518569558000,1.73355810546875,-0.42158597707748413,6.223184108734131,3.4062230587005615
1783250518589821000,1.753821044921875,-0.9964759945869446,-2.845705509185791,2.869659185409546
1783250518610085000,1.774085205078125,-1.9929519891738892,-6.673514366149902,1.0731279850006104
1783250518630349000,1.79434912109375,-1.8396480083465576,-6.711840629577637,-3.291245222091675
1783250518650612000,1.814612060546875,-1.3030840158462524,-5.681829452514648,-5.89741325378418
1783250518670876000,1.8348759765625,-1.456387996673584,-5.758481502532959,-4.939263343811035
1783250518691140000,1.85514013671875,-2.2181172370910645,-7.286730766296387,-2.869659185409546
1783250518711403000,1.875403076171875,-2.9463112354278564,-6.25671911239624,-5.130893230438232
1783250518731667000,1.8956669921875,-4.019439220428467,-6.25671911239624,-5.360848903656006
1783250518751931000,1.915930908203125,-4.517677307128906,-7.478360652923584,-2.6780290603637695
1783250518772194000,1.936194091796875,-5.744109153747559,-7.286730766296387,-1.8013219833374023
1783250518792458000,1.9564580078125,-6.467512130737305,-6.826818466186523,-3.061289072036743
1783250518812722000,1.976721923828125,-6.390860557556152,-6.1417412757873535,-3.5595271587371826
1783250518832985000,1.996985107421875,-5.475827217102051,-4.3787455558776855,-0.9581499695777893
1783250518853249000,2.0172490234375,-3.8661351203918457,-2.6540753841400146,2.9846372604370117
1783250518873513000,2.037512939453125,-2.563051223754883,-1.3174562454223633,3.2529191970825195
1783250518893776000,2.05777587890625,-1.3414099216461182,0.4072137475013733,3.6745052337646484
1783250518914040000,2.0780400390625,-0.38325998187065125,2.0887670516967773,10.25699520111084
1783250518934304000,2.098303955078125,-1.0731279850006104,5.078195095062256,21.017019271850586
1783250518954567000,2.11856689453125,-3.597853183746338,14.185410499572754,24.614871978759766
1783250518974831000,2.1388310546875,-5.705782890319824,30.60810089111328,21.05534553527832
1783250518995095000,2.159094970703125,-10.946863174438477,48.832115173339844,22.511734008789062
1783250519015358000,2.17935791015625,-11.636731147766113,61.54197311401367,17.994056701660156
1783250519035622000,2.199621826171875,-10.448625564575195,63.68343734741211,17.112558364868164
1783250519055886000,2.219885986328125,-8.997028350830078,52.62159729003906,18.487503051757812
1783250519076149000,2.24014892578125,-7.195706367492676,37.34868621826172,14.429738998413086
1783250519096413000,2.260412841796875,-6.050716876983643,23.71900177001953,7.463988304138184
1783250519116677000,2.280677001953125,-6.927424430847168,18.319828033447266,0.11497800052165985
1783250519136940000,2.30093994140625,-8.383811950683594,13.040421485900879,1.1881059408187866
1783250519157204000,2.321203857421875,-8.958702087402344,7.411290168762207,0.9198240041732788
1783250519177468000,2.341468017578125,-8.0005521774292,-2.845705509185791,-4.096091270446777
1783250519197731000,2.36173095703125,-6.544164180755615,-14.027315139770508,-4.441025257110596
1783250519217995000,2.3819951171875,-4.977589130401611,-12.570927619934082,0.7665199637413025
1783250519238259000,2.402259033203125,-5.360848903656006,-9.931224822998047,0.9964759945869446
1783250519258522000,2.422522216796875,-6.199230194091797,-14.635741233825684,-0.6898679733276367
1783250519278786000,2.4427861328125,-5.667457103729248,-20.64813232421875,0.11497800052165985
1783250519299050000,2.463050048828125,-5.859086990356445,-18.200057983398438,3.3678972721099854
1783250519319313000,2.48331298828125,-7.349010467529297,-12.915862083435059,3.8278090953826904
1783250519339577000,2.5035771484375,-7.847248077392578,-8.206554412841797,2.6397032737731934
1783250519359841000,2.523841064453125,-7.195706367492676,-4.110463619232178,1.3797359466552734
1783250519380104000,2.54410400390625,-6.160904407501221,-3.9571592807769775,1.2647579908370972
1783250519400368000,2.5643681640625,-5.054241180419922,-2.8840315341949463,3.32957124710083
1783250519420632000,2.584632080078125,-4.785959243774414,-2.5007715225219727,2.9463112354278564
1783250519440895000,2.60489501953125,-3.176267147064209,1.212059736251831,2.031277894973755
1783250519461159000,2.625158935546875,-0.6898679733276367,7.602920055389404,4.977589130401611
1783250519481423000,2.645423095703125,0.5748899579048157,15.45016860961914,19.100719451904297
1783250519501686000,2.66568603515625,-1.9929519891738892,32.63937759399414,23.4650936126709
1783250519521950000,2.685949951171875,-3.176267147064209,48.06559371948242,17.495819091796875
1783250519542214000,2.7062138671875,-3.061289072036743,58.63398742675781,18.525829315185547
1783250519562478000,2.72647802734375,-5.705782890319824,69.964111328125,4.287721157073975
1783250519582741000,2.746740966796875,-6.505838394165039,71.42050170898438,8.49878978729248
1783250519603005000,2.7670048828125,-7.463988304138184,57.52253341674805,14.544716835021973
1783250519623269000,2.78726904296875,-6.050716876983643,39.068565368652344,15.464540481567383
1783250519643532000,2.807531982421875,-5.935739040374756,26.780292510986328,12.134969711303711
1783250519663796000,2.8277958984375,-7.655618190765381,15.64179801940918,7.655618190765381
1783250519684060000,2.848059814453125,-12.364925384521484,5.538106918334961,5.782434940338135
1783250519704323000,2.868322998046875,-15.00462818145752,-0.550936222076416,-2.2181172370910645
1783250519724587000,2.8885869140625,-14.166247367858887,-0.7425662279129028,-2.601377248764038
1783250519744851000,2.908850830078125,-13.016467094421387,-3.995485305786133,-1.6480180025100708
1783250519765114000,2.929114013671875,-11.713383674621582,-10.276158332824707,-2.75468111038208
1783250519785378000,2.9493779296875,-9.456940650939941,-12.570927619934082,0.3066079914569855
1783250519805642000,2.96964208984375,-8.57544231414795,-15.133978843688965,1.034801959991455
1783250519825905000,2.98990478515625,-7.0040764808654785,-16.01547622680664,-1.3414099216461182
1783250519846169000,3.010169189453125,-8.958702087402344,-11.957711219787598,-4.096091270446777
1783250519866433000,3.03043310546875,-9.840200424194336,-9.24135684967041,-1.4180619716644287
1783250519886696000,3.050696044921875,-8.805397987365723,-8.206554412841797,1.762995958328247
1783250519906960000,3.0709599609375,-7.463988304138184,-9.356334686279297,2.9846372604370117
1783250519927224000,3.09122412109375,-6.4291863441467285,-9.203030586242676,3.7128312587738037
1783250519947487000,3.111487060546875,-6.275882244110107,-7.171752452850342,6.127368927001953
1783250519967751000,3.1317509765625,-5.169219017028809,-4.8003315925598145,5.705782890319824
1783250519988015000,3.15201513671875,-1.9162999391555786,1.2503857612609863,1.8779739141464233
1783250520008278000,3.172278076171875,2.5247251987457275,7.143008232116699,3.7128312587738037
1783250520028542000,3.1925419921875,6.4291863441467285,11.46905517578125,8.57544231414795
1783250520048806000,3.212805908203125,6.620816230773926,22.799179077148438,15.886126518249512
1783250520069069000,3.233069091796875,2.601377248764038,50.480133056640625,12.9014892578125
1783250520089333000,3.2533330078125,2.3714210987091064,73.83024597167969,4.172743320465088
1783250520109597000,3.273596923828125,7.119054317474365,72.25888061523438,-3.904461145401001
1783250520129860000,3.293860107421875,11.483427047729492,47.98894119262695,6.089043140411377
1783250520150124000,3.3141240234375,10.908537864685059,43.1263313293457,10.333647727966309
1783250520170388000,3.334387939453125,4.287721157073975,36.23723220825195,9.035354614257812
1783250520190651000,3.35465087890625,-3.75115704536438,21.194276809692383,7.234032154083252
1783250520210915000,3.3749150390625,-10.031829833984375,7.028029918670654,3.4062230587005615
1783250520231179000,3.395178955078125,-12.9014892578125,-1.2024781703948975,-3.0996150970458984
1783250520251442000,3.41544189453125,-13.706335067749023,-4.455397605895996,-4.326046943664551
1783250520271706000,3.4357060546875,-9.955178260803223,-11.727755546569824,-1.8779739141464233
1783250520291970000,3.455969970703125,-5.629131317138672,-18.808483123779297,-3.636179208755493
1783250520312233000,3.47623291015625,-3.9811131954193115,-19.230070114135742,-2.2564432621002197
1783250520332497000,3.496496826171875,-3.3678972721099854,-14.525553703308105,-1.8396480083465576
1783250520352761000,3.516760986328125,-3.8661351203918457,-10.352810859680176,-1.6863439083099365
1783250520373024000,3.53702392578125,-4.7093071937561035,-7.746642589569092,-2.4863991737365723
1783250520393288000,3.557287841796875,-4.479351043701172,-5.988437175750732,-2.333095073699951
1783250520413552000,3.57755224609375,-4.479351043701172,-4.148789405822754,0.3066079914569855
1783250520433815000,3.59781494140625,-3.9811131954193115,-3.420595407485962,2.8313331604003906
1783250520454079000,3.618078857421875,-2.7930071353912354,-3.113987445831299,2.9846372604370117
1783250520474343000,3.638343017578125,-2.333095073699951,-1.585738182067871,0.34493398666381836
1783250520494606000,3.658606201171875,-0.728193998336792,1.0204297304153442,-2.179791212081909
